artist,title,album,decade,year,date,lyric
Metallica,The Day That Never Comes,Death Magnetic,00s,2008,2008-09-12,born to push you 'round better just stay down you pull away he hits the flesh you hit the ground mouth so full of lies tend to black your eyes just keep them closed keep praying just keep waiting   waiting for the one the day that never comes ah when you stand up and feel the warmth but the sunshine never comes no no the sunshine never comes   push you cross that line just stay down this time hide in yourself crawl in yourself you'll have your time god i'll make them pay take it back one day i'll end this day i'll splatter color on this gray   waiting for the one the day that never comes ah when you stand up and feel the warmth huh but the sunshine never comes   love is a four letter word and never spoken here love is a four letter word here in this prison i suffer this no longer i'll put an end to this i swear this i swear the sun will shine this i swear this i swear this i swear
Metallica,The Unforgiven III,Death Magnetic,00s,2008,2008-09-12,how could he know this new dawn's light would change his life forever set sail to sea but pulled off course by the light of golden treasure was he the one causing pain with his careless dreaming been afraid always afraid of the things he's feeling he could just be gone he would just sail on you would just sail on   how can i be lost if i've got nowhere to go searched for seas of gold how come it's got so cold how can i be lost in remembrance i relive and how can i blame you when it's me i can't forgive   these days drift on inside a fog it's thick and suffocating this seeking life outside its hell inside intoxicating he's run aground like his life water much too shallow slipping fast down with the ship fading in the shadows now a castaway they've all gone away they've gone away   how can i be lost if i've got nowhere to go searched for seas of gold how come it's got so cold how can i be lost in remembrance i relive and how can i blame you when it's me i can't forgive   forgive me forgive me not forgive me forgive me not forgive me forgive me not forgive me forgive me why can't i forgive me      set sail to sea but pulled off course by the light of golden treasure how could he know this new dawn's light would change his life forever   how can i be lost if i've got nowhere to go searched for seas of gold how come it's got so cold how can i be lost in remembrance i relive so how can i blame you when it's me i can't forgive
Metallica,Hardwired,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-11-18,in the name of desperation in the name of wretched pain in the name of all creation gone insane   we're so fucked shit outta luck hardwired to selfdestruct   on the way to paranoia on the crooked borderline on the way to great destroyer doomed design   we're so fucked shit outta luck hardwired to selfdestruct   once upon a planet burning once upon a flame once upon a fear returning all in vain do you feel that hope is fading do you comprehend do you feel it terminating in the end   we're so fucked shit outta luck hardwired to selfdestruct hardwired to selfdestruct selfdestruct selfdestruct selfdestruct
Metallica,Fuel,Reload,90s,1997,1997-11-18,give me fuel give me fire give me that which i desire ooh   yeah turn on i see red adrenaline crash and crack my head nitro junkie paint me dead and i see red a hundred plus through black and white war horse warhead fuck 'em man whiteknuckle tight through black and white   ooh on i burn fuel is pumping engines burning hard loose and clean and i burn churning my direction quench my thirst with gasoline so give me fuel give me fire give me that which i desire hey   turn on beyond the bone swallow future spit out home burn your face upon the chrome yeah take the corner join the crash headlights headlines another junkie lives too fast yeah lives way too fast fast fast ooh   ooh on i burn fuel is pumping engines burning hard loose and clean and i burn churning my direction quench my thirst with gasoline so give me fuel give me fire give me that which i desire ooh yeahheh white knuckle tight      give me fuel on i burn on and on give me fire on i burn on and on my desire on i burn on and on   ooh on i burn fuel is pumping engines burning hard loose and clean and i burn churning my direction quench my thirst with gasoline so give me fuel give me fire give me that which i desire on i burn
Metallica,Disposable Heroes,Master of Puppets,80s,1986,1986-03-03,bodies fill the fields i see hungry heroes end no one to play soldier now no one to pretend running blind through killing fields bred to kill them all victim of what said should be a servant 'til i fall  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man   barking of machinegun fire does nothing to me now sounding of the clock that ticks get used to it somehow more a man more stripes you wear glory seeker trends bodies fill the fields i see the slaughter never ends  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man   why am i dying kill have no fear lie live off lying hell hell is here      why am i dying kill have no fear lie live off lying hell hell is here i was born for dying   life planned out before my birth nothing could i say had no chance to see myself molded day by day looking back i realize nothing have i done left to die with only friend alone i clench my gun  pre soldier boy made of clay now an empty shell twentyone only son but he served us well bred to kill not to care do just as we say finished here greeting death he's yours to take away   back to the front you will do what i say when i say back to the front you will die when i say you must die back to the front you coward you servant you blind man back to the front   back to the front back to the front back to the front back to the front
Metallica,To Live Is to Die,...And Justice for All,80s,1988,1988-08-25,spoken word when a man lies he murders some part of the world these are the pale deaths which men miscall their lives all this i cannot bear to witness any longer cannot the kingdom of salvation take me home
Metallica,Dyers Eve,...And Justice for All,80s,1988,1988-08-25,dear mother dear father what is this hell you have put me through believer deceiver day in day out lived my life through you pushed onto me what's wrong or right hidden from this thing that they call life dear mother dear father every thought i'd think you'd disapprove curator dictator always censoring my every move children are seen but are not heard tear out everything inspired  refrain innocence torn from me without your shelter barred reality i'm living blindly   dear mother dear father time has frozen still what's left to be hear nothing say nothing cannot face the fact i think for me no guarantee it's life as is but damn you for not giving me my chance dear mother dear father you clipped my wings before i learned to fly unspoiled unspoken i've outgrown that fucking lullaby same thing i've always heard from you do as i say not as i do  refrain innocence torn from me without your shelter barred reality i'm living blindly      i'm in hell without you cannot cope without you two shocked at the world that i see innocent victim please rescue me   dear mother dear father hidden in your world you've made for me i'm seething i'm bleeding ripping wounds in me that never heal undying spite i feel for you living out this hell you always knew
Metallica,Harvester of Sorrow,...And Justice for All,80s,1988,1988-08-25,my life suffocates planting the seeds of hate i've loved turned to hate trapped far beyond my fate i give you take this life that i forsake been cheated of my youth you've turned this lie to truth  pre anger misery you'll suffer unto me   harvester of sorrow language of the mad harvester of sorrow   pure black looking clear my work is done soon here try getting back to me get back which used to be drink up shoot in let the beatings begin distributor of pain your loss becomes my gain  pre anger misery you'll suffer unto me   harvester of sorrow language of the mad harvester of sorrow      all have said their prayers invade their nightmares to see into my eyes you'll find where murder lies infanticide   harvester of sorrow language of the mad harvester of sorrow language of the mad   harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow harvester of sorrow
Metallica,Whiskey in the Jar,Garage Inc.,90s,1998,1998-11-24,as i was going over the cork and kerry mountains i saw captain farrell and his money he was counting i first produced my pistol and then produced my rapier i said stand and deliver or the devil he may take you i took all of his money and it was a pretty penny i took all of his money yeah and i brought it home to molly she swore that she would love me no never would she leave me but the devil take that woman yeah for you know she tricked me easy   musha ring dum a doo dum a da whack for my daddyo whack for my daddyo there's whiskey in the jaro   being drunk and weary i went to molly's chamber taking money with me but i never knew the danger for about six or maybe seven in walked captain farrell i jumped up fired off my pistols and i shot him with both barrels yeah   musha ring dum a doo dum a da whack for my daddyo whack for my daddyo there's whiskey in the jaro yeahah whiskey in the jaro yeah yeah yeah woah yeah yeah   now some men like the fishing and some men like the fowling and some men like to hear to hear cannon ball a roaring me i like sleeping specially in my molly's chamber but here i am in prison here i am with a ball and chain yeah   musha ring dum a doo dum a da yeah yeah whack for my daddyo whack for my daddyo whiskey in the jaro yeah whiskey in the jaro yeah   musha ring dum a doo dum a da musha ring dum a doo dum a da hey musha ring dum a doo dum a da musha ring dum a doo dum a da yeah
Metallica,Moth Into Flame,Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-09-26,blacked out pop queen amphetamine the screams crashed into silence tapped out doused in the gasoline the high times going timeless   decadence death of the innocence the pathway starts to spiral infamy all for publicity destruction going viral  pre light it up ah light it up another hit erases all the pain bulletproof ah kill the truth youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   twisted backstabbing wicked the delusion absolution perjurer fame is the murderer seduce you into ruin  pre light it up ah light it up another hit erases all the pain bulletproof ah tell the truth youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   burn guarantee your name you go and kill yourself the vultures feast around you still overdose on shame and insecurity if one wont do that fistful will  4 death scene black hearse the limousine a grave filled with seduction vaccine fame does the murdering she builds up for destruction  pre so light it up ah light it up another hit erases all the pain bulletproof ah no excuse youre falling but you think youre flying high high again   sold your soul built a higher wall yesterday now youre thrown away same rise and fall who cares at all seduced by fame a moth into the flame   addicted to the fame
